Location ID,Location,Value,1981-2010 Mean,Anomaly (1981-2010 base period)
USW00024144,"Helena, Montana",61.9,59.5,2.4
USW00024153,"Missoula, Montana",59.9,57.6,2.3
USW00014935,"Grand Island, Nebraska",67.2,67.4,-0.2
USW00014941,"Norfolk, Nebraska",65.6,65.1,0.5
USW00024023,"North Platte, Nebraska",65.4,64.3,1.1
USW00014942,"Omaha, Nebraska",69.6,68,1.6
USW00024028,"Scottsbluff, Nebraska",64.3,63.6,0.7
USW00023185,"Carson City, Nevada",68.9,66.1,2.8
USW00024121,"Elko, Nevada",62.5,60.2,2.3
USW00023154,"Ely, Nevada",59.5,58.7,0.8
USW00023169,"Las Vegas, Nevada",85.1,83.6,1.5
USH00266779,"Reno, Nevada",68.9,66.2,2.7
USW00014745,"Concord, New Hampshire",63.5,61.9,1.6
USW00093730,"Atlantic City, New Jersey",69.6,67.6,2
USW00023050,"Albuquerque, New Mexico",71.7,70.6,1.1
USH00297610,"Roswell, New Mexico",75.1,74.5,0.6
USH00300042,"Albany, New York",65,63.8,1.2
USW00004725,"Binghamton, New York",61.2,60.6,0.6
USH00301012,"Buffalo, New York",64.2,62.9,1.3
USH00305801,"New York, New York",69.8,68.4,1.4
USW00094728,"Bronx, New York",69.8,68.8,1
USW00094789,"New York (JFK), New York",69.3,67.5,1.8
USW00014732,"Queens, New York",71.2,69.8,1.4
USW00014771,"Syracuse, New York",63.6,62.4,1.2
USW00003812,"Asheville, North Carolina",68.4,68,0.4
USH00311458,"Cape Hatteras, North Carolina",76.1,74.2,1.9
USW00013881,"Charlotte, North Carolina",73.5,72.8,0.7
USW00013723,"Greensboro, North Carolina",71.8,71.1,0.7
USW00013722,"Raleigh, North Carolina",73.6,72.4,1.2
USW00013748,"Wilmington, North Carolina",76.1,75.1,1
USW00024011,"Bismarck, North Dakota",62.5,61.5,1
USW00024012,"Dickinson, North Dakota",59.9,58.6,1.3
USW00014914,"Fargo, North Dakota",62.2,61.3,0.9
USW00014916,"Grand Forks, North Dakota",61.2,58.8,2.4
