May - October 2017 U.S. & Puerto Rico City Precipitation,,,,
Units: Inches,,,,
Missing: -99,,,,
Location ID,Location,Value,1981-2010 Mean,Anomaly (1981-2010 base period)
USW00094008,"Glasgow, Montana",3.74,8.95,-5.21
USH00243751,"Great Falls, Montana",7.22,10.3,-3.08
USW00024144,"Helena, Montana",5.2,8.08,-2.88
USW00024153,"Missoula, Montana",5.37,8.3,-2.93
USW00014935,"Grand Island, Nebraska",24.67,19.33,5.34
USW00014941,"Norfolk, Nebraska",20.1,19.53,0.57
USW00024023,"North Platte, Nebraska",20.41,15,5.41
USW00014942,"Omaha, Nebraska",18.94,21.57,-2.63
USW00024028,"Scottsbluff, Nebraska",8.98,10.79,-1.81
USW00023185,"Carson City, Nevada",1.91,2.26,-0.35
USW00024121,"Elko, Nevada",3.41,3.67,-0.26
USW00023154,"Ely, Nevada",3.27,5.13,-1.86
USW00023169,"Las Vegas, Nevada",0.87,1.43,-0.56
USH00266779,"Reno, Nevada",1.91,2.26,-0.35
USW00014745,"Concord, New Hampshire",26.35,21.69,4.66
USW00093730,"Atlantic City, New Jersey",32.39,20.87,11.52
USW00023050,"Albuquerque, New Mexico",5.31,6.34,-1.03
USH00297610,"Roswell, New Mexico",8.15,9.77,-1.62
USH00300042,"Albany, New York",24.43,21.97,2.46
USW00004725,"Binghamton, New York",27.68,21.99,5.69
USH00301012,"Buffalo, New York",24.57,21.03,3.54
USH00305801,"New York, New York",24.87,26.33,-1.46
USW00094728,"New York (Central Park), New York",24.87,26.33,-1.46
USW00094789,"New York (JFK), New York",23.61,22.7,0.91
USW00014732,"New York (La Guardia), New York",23.85,23.86,-0.01
USW00014771,"Syracuse, New York",24.62,21.03,3.59
USW00003812,"Asheville, North Carolina",34.06,23.85,10.21
USH00311458,"Cape Hatteras, North Carolina",32.01,30.94,1.07
USW00013881,"Charlotte, North Carolina",26.48,21.46,5.02
USW00013723,"Greensboro, North Carolina",26.37,22.77,3.6
USW00013722,"Raleigh, North Carolina",25.75,23.38,2.37
USW00013748,"Wilmington, North Carolina",42.41,36.19,6.22
USW00024011,"Bismarck, North Dakota",10.33,13.56,-3.23
USW00024012,"Dickinson, North Dakota",8.99,12.2,-3.21
USW00014914,"Fargo, North Dakota",10.61,16.85,-6.24
USW00014916,"Grand Forks, North Dakota",12.6,16.12,-3.52
USW00024013,"Minot, North Dakota",6.61,13.34,-6.73
USW00094014,"Williston, North Dakota",9,10.4,-1.4
USW00014895,"Akron, Ohio",21.64,22.03,-0.39
USW00093814,"Cincinnati, Ohio",26.81,22.06,4.75
USW00014820,"Cleveland, Ohio",20.17,20.95,-0.78
USW00014821,"Columbus, Ohio",26.74,21.74,5
USW00094830,"Toledo, Ohio",19.85,18.91,0.94
USW00013967,"Oklahoma City, Oklahoma",19.42,23.67,-4.25
USW00013968,"Tulsa, Oklahoma",27.15,25.02,2.13
USH00350328,"Astoria, Oregon",20.93,16.18,4.75
USW00024221,"Eugene, Oregon",7.9,9.94,-2.04
USW00024225,"Medford, Oregon",2.42,4.3,-1.88
USW00024155,"Pendleton, Oregon",5.5,4.61,0.89
USW00024229,"Portland, Oregon",10.02,9.96,0.06
USW00024232,"Salem, Oregon",10.35,8.98,1.37
USH00360106,"Allentown, Pennsylvania",33.78,25.58,8.2
USW00014860,"Erie, Pennsylvania",24.65,22.87,1.78
USW00014751,"Harrisburg, Pennsylvania",23.14,22.57,0.57
